id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
vf6l-OLvtPKWSfFd9ZnsOw,aprazível-rio-de-janeiro-2,Aprazível,https://s3-media1.fl.yelpcdn.com/bphoto/jReU4EF65pQ-1i8NvwR_Pg/o.jpg,False,https://www.yelp.com/biz/apraz%C3%ADvel-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,142,"[{'alias': 'brazilian', 'title': 'Brazilian'}]",4.5,"{'latitude': -22.92481, 'longitude': -43.18747}",[],$$$,"{'address1': 'R. Aprazível, 62', 'address2': 'Santa Teresa', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '20241-270', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Aprazível, 62', 'Santa Teresa', 'Rio de Janeiro - RJ 20241-270', 'Brazil']}",+552125089174,+55 21 2508-9174,6953.1837929268195
E1FQYklCR9qCMIzMrrjhsw,braseiro-rio-de-janeiro,Braseiro,https://s3-media3.fl.yelpcdn.com/bphoto/AkMHgG6Tmj70tDurd9a25A/o.jpg,False,https://www.yelp.com/biz/braseiro-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,39,"[{'alias': 'brazilian', 'title': 'Brazilian'}]",4.5,"{'latitude': -22.9748628, 'longitude': -43.1882993}",[],$,"{'address1': 'Rua Domingos Ferreira, 214', 'address2': 'Copacabana', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '22050-012', 'country': 'BR', 'state': 'RJ', 'display_address': ['Rua Domingos Ferreira, 214', 'Copacabana', 'Rio de Janeiro - RJ 22050-012', 'Brazil']}",+552125479866,+55 21 2547-9866,8148.526023653759
jPmgGTlstrxhbCaySqNOTw,nosso-rio-de-janeiro,NOSSO,https://s3-media2.fl.yelpcdn.com/bphoto/GQvH3843jp6bKBBEY3mEQQ/o.jpg,False,https://www.yelp.com/biz/nosso-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,10,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': -22.9834626, 'longitude': -43.2072061}",[],,"{'address1': 'R. Maria Quitéria, 91', 'address2': '', 'address3': None, 'city': 'Rio de Janeiro', 'zip_code': '22410-040', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Maria Quitéria, 91', 'Rio de Janeiro - RJ 22410-040', 'Brazil']}",+5521996190099,+55 21 99619-0099,7303.38726912879
vgfhhEjfxrY9Soh0M80JZw,ferro-e-farinha-rio-de-janeiro-2,Ferro e Farinha,https://s3-media2.fl.yelpcdn.com/bphoto/lAn8R_cvi_RgbqRl2c5MJA/o.jpg,False,https://www.yelp.com/biz/ferro-e-farinha-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,30,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': -22.9249191, 'longitude': -43.1778488}",[],$$,"{'address1': 'R. Andrade Pertence, 42', 'address2': '', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '22220-010', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Andrade Pertence, 42', 'Rio de Janeiro - RJ 22220-010', 'Brazil']}",,,7888.899910994605
NUeyA3LS7JnQdpomojHrWA,nomangue-rio-de-janeiro-2,Nomangue,https://s3-media1.fl.yelpcdn.com/bphoto/juPNyWAaF7lNnqAQjSOJ0Q/o.jpg,False,https://www.yelp.com/biz/nomangue-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,106,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': -22.9809054, 'longitude': -43.1907912}",[],$$,"{'address1': 'R. Sá Ferreira, 25', 'address2': '', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '22071-100', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Sá Ferreira, 25', 'Rio de Janeiro - RJ 22071-100', 'Brazil']}",+552122254028,+55 21 2225-4028,8337.327724370669
MalRW9DCnqDDCa6gEjD7rA,churrascaria-palace-rio-de-janeiro,Churrascaria Palace,https://s3-media3.fl.yelpcdn.com/bphoto/RqfhnnR2NinrvXNJLlL1EQ/o.jpg,False,https://www.yelp.com/biz/churrascaria-palace-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,151,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'rodizios', 'title': 'Rodizios'}]",4.5,"{'latitude': -22.966599, 'longitude': -43.178465}",[],$$$$,"{'address1': 'R. Rodolfo Dantas, 16', 'address2': 'Copacabana', 'address3': None, 'city': 'Rio de Janeiro', 'zip_code': '22020-040', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Rodolfo Dantas, 16', 'Copacabana', 'Rio de Janeiro - RJ 22020-040', 'Brazil']}",+552125415898,+55 21 2541-5898,8581.289087273199
Y4KuvLClTon-wZc0iEZyoQ,teva-rio-de-janeiro,Teva,https://s3-media2.fl.yelpcdn.com/bphoto/dUdX4oI38izFXIs6KgJqpw/o.jpg,False,https://www.yelp.com/biz/teva-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,19,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': -22.983417, 'longitude': -43.213288}",[],$$,"{'address1': 'Av. Henrique Dumont, 110', 'address2': 'Loja B', 'address3': None, 'city': 'Rio de Janeiro', 'zip_code': '22410-060', 'country': 'BR', 'state': 'RJ', 'display_address': ['Av. Henrique Dumont, 110', 'Loja B', 'Rio de Janeiro - RJ 22410-060', 'Brazil']}",+552132531355,+55 21 3253-1355,6906.607554500947
5e3zTy_MsKjCeNJpmtTk0g,haru-sushi-bar-rio-de-janeiro,Haru Sushi Bar,https://s3-media3.fl.yelpcdn.com/bphoto/J7IV9ThwGhp4D2A-_gJAmQ/o.jpg,False,https://www.yelp.com/biz/haru-sushi-bar-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,13,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': -22.972177, 'longitude': -43.1881169}",[],$$,"{'address1': 'R. Raimundo Corrêa, 10', 'address2': '', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '22040-042', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Raimundo Corrêa, 10', 'Rio de Janeiro - RJ 22040-042', 'Brazil']}",+552125476867,+55 21 2547-6867,8003.028083541857
6ULYwVUA3j0RpZ2lkV4e1Q,cervantes-rio-de-janeiro-2,Cervantes,https://s3-media2.fl.yelpcdn.com/bphoto/uDIG5A39qWteTE9aEETmwQ/o.jpg,False,https://www.yelp.com/biz/cervantes-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,38,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'localflavor', 'title': 'Local Flavor'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': -22.9638195, 'longitude': -43.1783485}",[],$,"{'address1': 'R. Barata Ribeiro, 07', 'address2': '', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '22011-001', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Barata Ribeiro, 07', 'Rio de Janeiro - RJ 22011-001', 'Brazil']}",+552122756147,+55 21 2275-6147,8582.777159012188
EQ0gUFQtqTfzdRNOCrc6NA,garota-de-ipanema-rio-de-janeiro-2,Garota de Ipanema,https://s3-media4.fl.yelpcdn.com/bphoto/f2ODVsyH4F5P5-HmPGUX1Q/o.jpg,False,https://www.yelp.com/biz/garota-de-ipanema-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZaFQ4_OiriT3AVd55N_QPg,122,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': -22.985261, 'longitude': -43.203009}",[],$$,"{'address1': 'R. Vinícius de Morais, 49', 'address2': '', 'address3': '', 'city': 'Rio de Janeiro', 'zip_code': '21072-540', 'country': 'BR', 'state': 'RJ', 'display_address': ['R. Vinícius de Morais, 49', 'Rio de Janeiro - RJ 21072-540', 'Brazil']}",+552125233787,+55 21 2523-3787,7745.253605911179
