review_id,url_id,text,review_rate,time_created,restaurant_id,user_id,name
kT7nhJ2X0ty7QDoAHz6Hmg,https://www.yelp.com/biz/apraz%C3%ADvel-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=kT7nhJ2X0ty7QDoAHz6Hmg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"Amazing food, drinks, and service. The ambiance is super cute. My only regret is I didn't realize they close at 5pm on Sundays and they but my ceviche in...",5,2023-10-02 04:40:14,vf6l-OLvtPKWSfFd9ZnsOw,ijY19sIVo6CtPdBV-tNgvQ,Alicia B.
ciKlqV9BATuwyMKW62k0eg,https://www.yelp.com/biz/apraz%C3%ADvel-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=ciKlqV9BATuwyMKW62k0eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"The view is the only reason to visit this place. The food is average at best. Portions small, limited menu, lacked presentation. 
Much better Moqueca in Rio.",1,2023-10-15 16:45:33,vf6l-OLvtPKWSfFd9ZnsOw,EBr3lIkv6baPqcRmKv-QvQ,EonicMan N.
D7CgurWvUTh8lZcLL_LPKg,https://www.yelp.com/biz/apraz%C3%ADvel-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=D7CgurWvUTh8lZcLL_LPKg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,Amazing food and the views are unmatched. I got a table right by the ledge overlooking Santa Theresa. I went for an early dinner/late lunch and had no...,5,2023-02-19 08:54:10,vf6l-OLvtPKWSfFd9ZnsOw,OsqFyz9huyc65aSkVSoGZQ,Lauren C.
8ECy6Z4iUFbKdiJqFJJYWQ,https://www.yelp.com/biz/braseiro-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=8ECy6Z4iUFbKdiJqFJJYWQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"Excellent food and service. Picanha was our favorite. Also had delicious chicken, beans and rice. Sit and the bar...",5,2023-08-04 14:14:15,E1FQYklCR9qCMIzMrrjhsw,K7F4icgDthecvgc9uc6OwQ,Douglas G.
rQDmXLvzadd18kh5neybqQ,https://www.yelp.com/biz/braseiro-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=rQDmXLvzadd18kh5neybqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,This is a local hole in the wall.  Cleanliness is not great.  Service was good.  We ordered the picahna for two and three of us ate.  We were full though we...,3,2023-06-29 18:00:55,E1FQYklCR9qCMIzMrrjhsw,2nTANFp8TnGRj34Wg0Ohfg,Gustavo G.
xvEdtS5yV4v79jfSwqrovQ,https://www.yelp.com/biz/braseiro-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=xvEdtS5yV4v79jfSwqrovQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"This is a hidden gem in Rio!  I found it through a Yelp search near my hotel (Hilton Copacabana - a great hotel...) sorted by ratings.  

The meal was...",5,2022-12-19 17:18:18,E1FQYklCR9qCMIzMrrjhsw,3eac8SVagrK5DAb5Jxmwzw,Jeff L.
nHczr_99sv1qXq5w4wvbjg,https://www.yelp.com/biz/nosso-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=nHczr_99sv1qXq5w4wvbjg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"One of the best meals we had during our week-long trip to Rio! Even though there was a bit of a language barrier with our waiter, he was so kind, attentive,...",5,2023-09-08 11:41:26,jPmgGTlstrxhbCaySqNOTw,ez3GBw83OIgzzgvc0R4jzw,Tanisha S.
CnLmJDY8UpXw5-emkHagLw,https://www.yelp.com/biz/nosso-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=CnLmJDY8UpXw5-emkHagLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,"We were visiting on vacation and stumbled across Nosso on the map and decided to give it a try - and we're happy we did!

From the moment you walk in the...",5,2022-04-23 10:07:24,jPmgGTlstrxhbCaySqNOTw,5sLBC3kK4bq67MvehNLtYA,Kyle W.
UBx12OBY8xezpU39niNqYQ,https://www.yelp.com/biz/nosso-rio-de-janeiro?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=UBx12OBY8xezpU39niNqYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,We love NOSSO! Amazing service and delicious food and drinks. The atmosphere was beautiful. Great prices for the quality of food and attentive service....,5,2022-09-16 10:22:02,jPmgGTlstrxhbCaySqNOTw,lTq4TjnfT6SbGrLFSJ_CJg,Elle F.
jrojCM-xRWh-lGpqpmqq8Q,https://www.yelp.com/biz/ferro-e-farinha-rio-de-janeiro-2?adjust_creative=ZaFQ4_OiriT3AVd55N_QPg&hrid=jrojCM-xRWh-lGpqpmqq8Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ZaFQ4_OiriT3AVd55N_QPg,My favorite pizza I've ever had. The crust is perfection - rivaling anything and everything I ate during my stay in Naples last year (which was glorious and...,5,2018-03-27 19:06:08,vgfhhEjfxrY9Soh0M80JZw,NrgqEUf-kQtF0cbw6RW8TQ,Noah G.
